Date,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
13-08-2020,43370.90074,11564.34,44228.31718,11792.96,42268.35814,11270.36,44179.712,11780,70132
12-08-2020,42724.89434,11392.09,43570.34701,11617.52,41816.96,11150,43370.86323,11564.33,64909
11-08-2020,44603.13216,11892.9,44761.024,11935,41723.2,11125,42724.85683,11392.08,90748
10-08-2020,43811.01018,11681.69,45257.38944,12067.35,42942.08,11450,44603.20717,11892.92,84952
09-08-2020,44108.52941,11761.02,44243.88134,11797.11,43211.99629,11521.97,43810.97267,11681.68,41493
08-08-2020,43483.48774,11594.36,44285.73581,11808.27,43174.6048,11512,44109.99206,11761.41,41858
07-08-2020,44113.96749,11762.47,44667.03898,11909.94,42462.0288,11322,43483.00019,11594.23,65755
06-08-2020,44048.11046,11744.91,44629.76,11900,43364,11562.5,44113.92998,11762.46,63529
05-08-2020,41974.4393,11191.99,44183.19987,11780.93,41603.1872,11093,44048.11046,11744.91,74970
04-08-2020,42078.28787,11219.68,42810.74099,11414.98,41254.4,11000,41974.36429,11191.97,58629
03-08-2020,41522.02854,11071.36,43028.3392,11473,41014.3744,10936,42078.77542,11219.81,56931
02-08-2020,44259.10797,11801.17,45467.82438,12123.46,39448.5824,10518.5,41521.99104,11071.35,97553
01-08-2020,42512.50918,11335.46,44483.4944,11861,42079.488,11220,44259.10797,11801.17,85087
31-07-2020,41628.65242,11099.79,42919.5776,11444,41104.384,10960,42512.50918,11335.46,70063
30-07-2020,41631.39021,11100.52,41891.968,11170,40620.5824,10831,41627.97734,11099.61,60794
29-07-2020,40902.87501,10906.27,42540.11213,11342.82,40549.3248,10812,41631.42771,11100.53,76838
28-07-2020,41366.76198,11029.96,42162.85939,11242.23,39622.976,10565,40902.87501,10906.27,97267
27-07-2020,37247.24762,9931.54,42735.28294,11394.86,37193.50438,9917.21,41366.76198,11029.96,150188
26-07-2020,36380.45517,9700.42,37920.2944,10111,36191.36,9650,37247.24762,9931.54,65279
25-07-2020,35771.69024,9538.1,36502.26816,9732.9,35677.5552,9513,36380.45517,9700.42,40679
24-07-2020,36016.10381,9603.27,36142.6048,9637,35491.68538,9463.44,35770.56512,9537.8,43931
23-07-2020,35696.90726,9518.16,36243.8656,9664,35405.01363,9440.33,36016.10381,9603.27,51856
22-07-2020,35216.256,9390,35793.8176,9544,34732.4544,9261,35696.90726,9518.16,48815
21-07-2020,34356.58931,9160.78,35395.26259,9437.73,34326.66112,9152.8,35216.256,9390,60413
20-07-2020,34537.3961,9208.99,34584.38861,9221.52,34244.9024,9131,34356.58931,9160.78,35458
19-07-2020,34392.29312,9170.3,34624.70541,9232.27,34133.70304,9101.35,34537.3961,9208.99,26052
18-07-2020,34332.32422,9154.31,34576.06272,9219.3,34207.77344,9121.1,34392.21811,9170.28,22554
17-07-2020,34255.10349,9133.72,34454.28723,9186.83,34090.42342,9089.81,34332.36173,9154.32,28054
16-07-2020,34494.67904,9197.6,34601.75296,9226.15,33930.8064,9047.25,34255.10349,9133.72,43375
15-07-2020,34713.13984,9255.85,34790.5481,9276.49,34355.80173,9160.57,34494.67904,9197.6,39053
14-07-2020,34663.48454,9242.61,34801.98682,9279.54,34177.3952,9113,34713.13984,9255.85,45772
13-07-2020,34891.13382,9303.31,35043.06253,9343.82,34507.01786,9200.89,34663.52205,9242.62,42740
12-07-2020,34631.26861,9234.02,35047.488,9345,34344.288,9157.5,34889.0336,9302.75,30872
11-07-2020,34834.99034,9288.34,34876.01971,9299.28,34422.1088,9178.25,34631.30611,9234.03,22561
10-07-2020,34625.26797,9232.42,34944.27699,9317.48,34222.4,9125,34834.99034,9288.34,38295
09-07-2020,35388.99942,9436.06,35406.73882,9440.79,34353.664,9160,34625.30547,9232.43,48044
08-07-2020,34718.95296,9257.4,35516.288,9470,34619.9424,9231,35388.99942,9436.06,56140
07-07-2020,35037.99949,9342.47,35176.57677,9379.42,34514.9312,9203,34718.91546,9257.39,34587
06-07-2020,34013.91526,9069.41,35160,9375,33963.32237,9055.92,35044.48768,9344.2,54463
05-07-2020,34259.904,9135,34298.3081,9145.24,33352.41971,8893.03,34013.91526,9069.41,34073
04-07-2020,33970.33562,9057.79,34466.176,9190,33903.76602,9040.04,34261.62918,9135.46,26441
03-07-2020,34078.15962,9086.54,34222.4,9125,33894.12749,9037.47,33972.0983,9058.26,28943
02-07-2020,34623.6553,9231.99,34736.05478,9261.96,33528.576,8940,34078.15962,9086.54,45725
01-07-2020,34271.45523,9138.08,34848.7168,9292,34054.00704,9080.1,34623.6928,9232,38488
30-06-2020,34477.16467,9192.93,34522.432,9205,33996.96346,9064.89,34273.21792,9138.55,31463
29-06-2020,34189.24646,9116.16,34646.1952,9238,33846.12237,9024.67,34475.77702,9192.56,42120
28-06-2020,33798.6048,9012,34469.9264,9191,33558.80422,8948.06,34189.95904,9116.35,30688
27-06-2020,34361.95238,9162.21,34489.5785,9196.24,33127.2832,8833,33798.6048,9012,46290
26-06-2020,34689.2873,9249.49,34871.2192,9298,33924.05568,9045.45,34361.95238,9162.21,50292
25-06-2020,34872.45683,9298.33,35028.736,9340,33789.94138,9009.69,34689.2873,9249.49,55831
24-06-2020,36095.08723,9624.33,36266.368,9670,34533.6832,9208,34865.5561,9296.49,61571
23-06-2020,36325.21178,9685.69,36453.888,9720,35917.69331,9577.03,36097.18746,9624.89,41031
22-06-2020,34858.80538,9294.69,36678.912,9780,34792.79834,9277.09,36325.21178,9685.69,57895
21-06-2020,35099.80608,9358.95,35336.2688,9422,34809.48762,9281.54,34858.80538,9294.69,24316
20-06-2020,34917.08659,9310.23,35235.008,9395,34394.73088,9170.95,35099.80608,9358.95,30329
19-06-2020,35202.45453,9386.32,35397.40032,9438.3,34562.89882,9215.79,34917.08659,9310.23,45330
